office_name,office_address,office_city,office_state,office_zipcode,expense_date,expense_type,amount,description,approved_by_name,approved_by_email,approved_by_phone_number
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2024-05-19,Miscellaneous,1247.58,Night why themselves action. Investment answer rock system bag business court. Person your particularly two for wonder firm.,David Turner,david.turner@example.com,001-977-676-8903x8512
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2023-12-04,Utilities,4940.63,"Baby same such I animal result believe. Face evidence everything ball six main.
They religious sister education.
Husband arm defense risk lawyer.",Addison Rivera,addison.rivera@example.com,660.643.8462x27867
Dream Homes NYC Branch,2286 Fulton Street,New York,NY,15817-1603,2023-11-22,Travel,1487.02,"Avoid stop study true step structure. More general care game home. Professional miss least there how land minute.
Quickly effort debate analysis front section onto. Article American anything under.",Victoria James,victoria.james@example.com,(919)284-4529x7879
Dream Homes NYC Branch,710 Bleecker Street,New York,NY,70967-8816,2023-12-23,Office Supplies,665.75,"Natural move president choose finish at determine several. Enter growth identify good sense.
Fast strong over enough for difficult. Sing look finally week part.",Jordan Ramirez,jordan.ramirez@example.com,8232736559
Dream Homes NYC Branch,710 Bleecker Street,New York,NY,70967-8816,2023-08-11,Utilities,524.46,"Employee long talk fine sing shoulder per. Natural happy pattern phone half. Home national travel.
Arm third watch. Win skin federal.
Wait thousand happy early hold add within.",Victoria James,victoria.james@example.com,(919)284-4529x7879
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2024-06-08,Rent,4360.62,Enter law American hit turn very old fund. Like out guy quality reach least claim big. Receive as hope mother marriage later management.,Amanda Nelson,amanda.nelson@example.com,(404)561-6805
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2024-04-08,Technology,4605.24,Experience international seek find opportunity more. Who again born. Card on effort several impact heavy himself.,Chloe Cooper,chloe.cooper@example.com,252-476-8743
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2024-07-18,Technology,3914.19,"Term threat simply power final.
President trouble represent help cup rest. Phone heavy finally bank finish. Sense care apply physical successful focus pretty.",Isabella Cooper,isabella.cooper@example.com,400-359-8217
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2023-11-05,Maintenance,700.59,Style score hundred color board former. Ready case do actually play site and. Whatever trip public positive partner.,Aaron Rodriguez,aaron.rodriguez@example.com,278.273.4407
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2023-09-05,Maintenance,4138.62,"Site attack stock daughter yourself. Enter bank would let marriage reduce.
Team technology throw discover.",Jonathan Barnes,jonathan.barnes@example.com,001-966-810-4156x18920
Dream Homes NYC Branch,2286 Fulton Street,New York,NY,15817-1603,2024-06-13,Technology,2980.83,"Travel according put theory its now direction. Important much college somebody risk couple town.
Call beat enough seat away over. Meet force eat past.
Share voice argue those boy.",John Wright,john.wright@example.com,(917)720-3157
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2024-02-03,Office Supplies,589.4,Very bill identify group travel other box. Final question tax budget finish.,Aaron Rodriguez,aaron.rodriguez@example.com,278.273.4407
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-07-13,Marketing,2568.98,"Sense and job station stage our around but. Assume hear recent miss performance.
Tree source high free. Fund accept else.
Evidence language federal. Western owner try want education last simple.",Victoria Miller,victoria.miller@example.com,+1-892-418-5671
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2024-05-19,Maintenance,4738.92,"Instead turn heart half as environment. Recent south if notice popular.
Discussion easy letter appear year debate. Society view travel anything.",Amanda Turner,amanda.turner@example.com,708-504-2605x348
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2024-04-08,Technology,3622.77,"Direction husband security month take. Develop drug indeed base.
Bag everybody similar key. Letter town once impact plant play. Fish participant white education middle.",Rebecca Collins,rebecca.collins@example.com,+1-769-307-6848x0316
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2023-10-04,Technology,978.16,"Investment station daughter party image once man.
Rich nearly same court family range. Expect series imagine management.",Victoria James,victoria.james@example.com,(919)284-4529x7879
Dream Homes NYC Branch,83666 Northern Blvd,New York,NY,38867-4357,2024-02-13,Maintenance,1465.11,Serious make simple war teach mouth. Size senior culture. Beyond live model health natural along grow.,Chloe Cooper,chloe.cooper@example.com,252-476-8743
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2024-02-05,Office Supplies,3111.92,"General allow management south job friend.
Writer American name left fast born. Nature fall court site.",Sarah Hill,sarah.hill@example.com,(612)247-9873x3779
Dream Homes NYC Branch,2286 Fulton Street,New York,NY,15817-1603,2024-07-28,Travel,3449.22,Create entire product however. Project fly several today. Nothing control food card specific mouth.,Amanda Turner,amanda.turner@example.com,708-504-2605x348
Dream Homes NYC Branch,2286 Fulton Street,New York,NY,15817-1603,2023-12-19,Marketing,4925.13,"Consider situation fund rule. Future rest like radio cultural.
Too financial total car first. Artist education parent avoid society car. I feel tough table manager speech result cut.",Charles Lewis,charles.lewis@example.com,681-602-1559
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2023-10-25,Marketing,2993.63,"Become sport show. Care key garden. Style woman environment station believe party.
Pretty around few collection quickly million. Soldier free along.",Samuel Young,samuel.young@example.com,635-921-1818
Dream Homes NYC Branch,2286 Fulton Street,New York,NY,15817-1603,2024-03-01,Travel,947.76,"Majority either clearly somebody produce wife next understand. Keep ready poor business describe every. Detail well really family economic.
Moment music a last. Draw morning senior recent even.",Brittany Perry,brittany.perry@example.com,001-328-991-7731x7104
Dream Homes NYC Branch,83666 Northern Blvd,New York,NY,38867-4357,2024-01-23,Event,4795.72,"Base believe someone kind like appear again. Each degree moment good behind career.
It Congress her visit nor likely page. Bar catch seek condition.",Laura Kelly,laura.kelly@example.com,(993)548-4032x57113
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2024-06-14,Utilities,1611.23,Trial second in no subject worker agency road. Front economy second possible page light should.,David Henderson,david.henderson@example.com,+1-391-636-3943
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2024-03-18,Miscellaneous,3434.35,Peace surface carry father. Prepare my job social class security.,Nicholas Wilson,nicholas.wilson@example.com,(777)228-8360x405
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2024-04-30,Rent,3867.05,"Its throughout can close suddenly.
Modern relate part choose happen meeting step. Mr want whatever PM thus.
Off tough glass government democratic nice last. Rich sure important ready we.",Lillian Long,lillian.long@example.com,(401)822-9683
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2023-08-03,Event,4504.62,"We full produce.
Past strong culture now control. Teach them new while challenge sing wrong. Never interview Mrs main hour stop simple.",Victoria Miller,victoria.miller@example.com,+1-892-418-5671
Dream Homes NYC Branch,94921 Victory Blvd,New York,NY,24137-7042,2023-12-24,Technology,287.76,Himself interest southern defense themselves brother from American. Impact practice half face. Democrat personal interview.,David Henderson,david.henderson@example.com,+1-391-636-3943
Dream Homes NYC Branch,710 Bleecker Street,New York,NY,70967-8816,2023-10-05,Maintenance,187.84,"Sing itself able since friend Democrat training.
Art west step term early. Thought memory pretty man kind.
Attention father course. Letter board at notice.",Jordan Ramirez,jordan.ramirez@example.com,8232736559
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2024-03-10,Marketing,2472.63,Nature receive figure. Thus claim hour gas car on scientist. Kitchen whatever because agent small their music.,Brittany Perry,brittany.perry@example.com,001-328-991-7731x7104
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2023-09-30,Training,527.71,"Data modern fund wish could recent. Question family them them walk. Movie property fund dark Republican around.
Sister the card significant big white. Process bill network well especially tell heart.",Brittany Perry,brittany.perry@example.com,001-328-991-7731x7104
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2023-11-16,Training,2263.62,"Here increase chance draw. Serve senior far everything despite home.
Recognize offer camera have. Important traditional often read yard allow.",Nora Ward,nora.ward@example.com,001-403-357-2798x250
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2024-01-19,Office Supplies,2841.03,Difficult rule interesting short method able respond wish. Onto would tell increase great. Research later argue to our weight.,Elijah Mitchell,elijah.mitchell@example.com,225-595-2028
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2024-03-28,Marketing,3786.78,"Do throw whose could month exist. Very population really can.
Surface tree from since. Likely federal management factor.",Charles Lewis,charles.lewis@example.com,681-602-1559
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2023-11-11,Travel,2654.63,"Form task himself reduce fly including democratic. Find case like later far guess. Yard involve identify bad method throughout.
Born eye down inside one. Nation thus individual little ok minute play.",Amanda Turner,amanda.turner@example.com,708-504-2605x348
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2024-03-12,Utilities,2379.15,Unit should worker increase way series better. Collection decision end letter trip kind great activity. Final party cold within return.,David Turner,david.turner@example.com,001-977-676-8903x8512
Dream Homes NYC Branch,83666 Northern Blvd,New York,NY,38867-4357,2024-06-11,Training,2721.03,Chair fast single Mr way. Poor scientist other might onto. Truth contain land enough soon notice case go. Building particular note tell security site tell.,Jordan Ramirez,jordan.ramirez@example.com,8232736559
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2024-04-12,Rent,309.22,"Evening fall body role idea. Piece factor home college summer thus the front. Look door idea son then born.
Single dinner have surface everything senior. Couple seem air place. Drug study eight we.",Jacob Robinson,jacob.robinson@example.com,(459)552-9591x20697
Dream Homes NYC Branch,7044 Canal Street,New York,NY,58173-5454,2023-08-07,Marketing,4290.3,"Challenge here only western upon. Performance health interest war member group quite. Direction road dinner moment fast upon.
Protect open bring. Financial baby game use.",Chloe Cooper,chloe.cooper@example.com,252-476-8743
Dream Homes NYC Branch,03646 Fordham Road,New York,NY,12507-2403,2023-08-17,Miscellaneous,1089.3,"Financial professional away hope argue where past ground. Stop quickly about here.
Event note produce education. Never crime social former.",Nicholas Wilson,nicholas.wilson@example.com,(777)228-8360x405
Dream Homes NYC Branch,626 Forest Ave,New York,NY,50698-1964,2023-10-09,Utilities,2413.19,"Condition Congress suggest. Professor probably identify two enter table.
Claim because white. Court knowledge into history house Mrs. Like exist possible.",Jacob Robinson,jacob.robinson@example.com,(459)552-9591x20697
Dream Homes NYC Branch,2286 Fulton Street,New York,NY,15817-1603,2024-01-12,Training,3239.92,Single TV organization employee up window. Test value everything audience official send. Blood either begin smile school among off.,Laura Kelly,laura.kelly@example.com,(993)548-4032x57113
Dream Homes NYC Branch,513 Bowery,New York,NY,12128-1870,2024-06-07,Maintenance,1536.51,"Black cost beautiful feeling series rest. Similar personal deal. Happy usually there guess low. Ago father want.
Seven court room do my sound. Win social young loss. Democratic onto positive.",Victoria Miller,victoria.miller@example.com,+1-892-418-5671
Dream Homes NYC Branch,710 Bleecker Street,New York,NY,70967-8816,2023-08-27,Training,776.28,"Him agreement begin trial herself center. Hand actually reduce big skill. Could no television center offer.
Check year value young. Chance result happen her next car.",Elijah Richardson,elijah.richardson@example.com,527-264-3341
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2024-02-19,Training,4790.53,"Feeling well create big. Significant second blood as hold.
Baby audience around information nice. While loss nature final.",Victoria James,victoria.james@example.com,(919)284-4529x7879
Dream Homes NYC Branch,75745 Victory Blvd,New York,NY,92756-5802,2023-09-08,Event,1066.89,"Per former black face quickly rule.
Close find street past get name. Almost challenge painting with door game.
Mother long seem range per information beat. Month month out difficult create often.",Amanda Turner,amanda.turner@example.com,708-504-2605x348
Dream Homes NYC Branch,83666 Northern Blvd,New York,NY,38867-4357,2024-03-19,Travel,1663.02,"Fall reach allow camera want feel item. Candidate north prepare every.
Else picture begin quality. Evidence sport situation something decide wonder fall two.",Addison Rivera,addison.rivera@example.com,660.643.8462x27867
Dream Homes NYC Branch,710 Bleecker Street,New York,NY,70967-8816,2024-04-09,Miscellaneous,3968.01,"Push little foreign paper listen bank operation trip. Little size end interest.
Themselves unit our claim language figure catch bad. Miss matter whether next. Wish information tax help door role.",Evan Green,evan.green@example.com,672.459.0466
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2024-07-20,Marketing,3540.74,Partner effect serve tree answer describe. Past gas off professor wrong support new article. Perhaps other service network someone sure.,John Wright,john.wright@example.com,(917)720-3157
Dream Homes NYC Branch,2286 Fulton Street,New York,NY,15817-1603,2024-07-30,Maintenance,4091.31,Doctor Mrs whatever occur out yet. Leave threat hospital process class test table election. Check upon soon chance hard.,Timothy Long,timothy.long@example.com,+1-475-840-4199
Dream Homes NYC Branch,427 3rd Ave,New York,NY,94286-3030,2024-06-07,Marketing,3344.81,"Floor already box past thousand fish common. Face blue role institution whether explain across.
Want arrive beyond poor join safe free move.",Evan Green,evan.green@example.com,672.459.0466
