name,email,phone_number,date_of_birth,address,city,state,zipcode,neighborhood,preferred_contact_method,notes,client_type
Rebecca Powell,rebecca.powell@example.com,001-930-425-4638,1958-04-18,1599 Bleecker Street,New York,NY,89468-2405,Queens,Mail,"Student how decision anyone. Reason over here either health production audience.
Better protect question green move. Trade Democrat whatever risk reason again.",Government
Amy Bryant,amy.bryant@example.com,+1-447-857-2696,1956-01-27,333 Richmond Ave,New York,NY,58009-2045,Bronx,Mail,Wrong five issue system development. Tv young market market up feel.,VIP
Mason Baker,mason.baker@example.com,(390)684-4764,1963-09-12,90602 Steinway Street,New York,NY,15314-4689,Bronx,Mail,"Another discover once number economy. Investment remember cover local reach rich upon join.
Sport true chair tough statement. Your what east nor you. Feeling home them include note anyone.",VIP
Grace Alexander,grace.alexander@example.com,256-682-6542,1990-01-03,816 Lexington Ave,New York,NY,23594-7239,Bronx,Mail,"Economic parent above staff focus. Last choose final cost. Decision rule care mouth my understand.
Set drop factor test produce teach mean. Oil purpose always.",Small Business
Rachel Patterson,rachel.patterson@example.com,541.861.5659x17201,1990-04-13,7337 Madison Ave,New York,NY,94511-1594,Queens,Email,"Century nation analysis year collection.
Past station law commercial new doctor. Law sign culture. Article fact box modern.
Quality more light finish develop same attorney. Myself year effect.",Corporate
Timothy Bell,timothy.bell@example.com,(201)767-7332,1992-09-08,457 5th Ave,New York,NY,94917-6660,Brooklyn,Phone,"Create teacher tend become national movement improve. Their lawyer institution particularly lawyer.
Low commercial arm wall. Likely simple name value no.
Nearly job shake us. Deal present president.",VIP
Gabriel Perry,gabriel.perry@example.com,001-414-436-7547x869,2005-04-02,3341 2nd Ave,New York,NY,81958-7538,Manhattan,Phone,"Matter decide risk store your general claim.
Light decision today cover. Style term affect unit. Bank join at respond Republican agreement in.
Avoid across program key.",VIP
Nora Flores,nora.flores@example.com,334-718-7256,1992-10-25,559 Forest Ave,New York,NY,45596-7086,Staten Island,Mail,"Support expect quality lead plan. Action war term.
Music write though. Child dog agree success either ever. Security write product.",Small Business
Penelope Jenkins,penelope.jenkins@example.com,001-488-438-3880x30452,1949-04-13,3643 Astoria Blvd,New York,NY,75962-6354,Brooklyn,Phone,"Article practice goal run.
Story build say side part. Before so rule trial big develop miss white. Pattern something medical hand between.",Non-Profit
Brittany Morris,brittany.morris@example.com,277-290-7425,1992-03-11,8489 Park Ave,New York,NY,77695-3706,Bronx,Email,"Produce here value work. Magazine half owner either real do.
Very difficult measure turn everything treatment today. Law despite realize lot Democrat foreign bag bank. Possible space gun down image.",Corporate
