name,email,phone_number,date_of_birth,address,city,state,zipcode,neighborhood,office_phone_number,office_email,employment_status,sales_total,hire_date,termination_date,license_number,specialties,rating
Kimberly Perez,kimberly.perez@example.com,828-359-8453x43848,1998-11-05,789 2nd Ave,New York,NY,97852-3802,Manhattan,898-383-2512x851,robert99@bright-schwartz.com,Active,0,2021-01-06,,gkS-8606-7560,"Leasing, Investment, Property Management, Luxury, Residential",3.49
Lucas Jones,lucas.jones@example.com,+1-597-432-6177x7023,1979-10-13,171 2nd Ave,New York,NY,56106-9571,Staten Island,8278386211,nicholaspruitt@lee.com,Active,0,2022-04-06,,,,
Andrew Bryant,andrew.bryant@example.com,001-546-224-1794,1957-03-17,8683 Columbus Ave,New York,NY,41039-3696,Manhattan,(486)423-9409,ariel95@carey.com,On Leave,0,2020-06-01,,Ovv-7705-1403,Leasing,3.81
Elijah Morris,elijah.morris@example.com,506.761.5451x07227,1984-03-11,9957 Madison Ave,New York,NY,97535-8163,Staten Island,8278386211,nicholaspruitt@lee.com,Inactive,0,2022-05-27,,,,
Jason Rogers,jason.rogers@example.com,001-960-487-2683,1950-10-09,9580 Mulberry Street,New York,NY,55711-1196,Queens,898-383-2512x851,robert99@bright-schwartz.com,Inactive,0,2020-08-17,,hvy-1055-8866,"Leasing, Foreclosures, Luxury",1.4
Brian King,brian.king@example.com,261.593.3241,1944-03-17,63664 1st Ave,New York,NY,86407-2037,Queens,+1-459-717-5714x64028,djackson@morgan.com,Inactive,0,2022-11-02,,,,
Megan Reed,megan.reed@example.com,(367)991-8873,1981-09-24,910 West End Ave,New York,NY,64159-3946,Staten Island,421-290-1804x25405,meyermary@price.biz,Inactive,0,2021-05-11,,inj-9485-4303,"Investment, Property Management, Commercial, Residential",4.71
Tyler Henderson,tyler.henderson@example.com,001-307-947-2745x65155,1954-07-17,9458 Fulton Street,New York,NY,47283-5237,Manhattan,4799237892,hwilkinson@martinez.com,Inactive,0,2020-02-07,,,,
Lily Coleman,lily.coleman@example.com,+1-340-284-0721,1949-01-03,597 Amsterdam Ave,New York,NY,92176-8610,Staten Island,433.842.8128x753,mary03@alvarado-shaw.com,Terminated,0,2022-05-02,2023-05-25,oPM-2108-8543,Luxury,1.63
Amy Bryant,amy.bryant@example.com,232.677.7034,1967-03-29,03907 Steinway Street,New York,NY,14382-4791,Staten Island,433.842.8128x753,mary03@alvarado-shaw.com,Terminated,0,2023-11-17,2023-02-08,,,
Cameron Edwards,cameron.edwards@example.com,632-701-5760x833,1964-10-10,6126 Bleecker Street,New York,NY,81264-9481,Staten Island,433.842.8128x753,mary03@alvarado-shaw.com,On Leave,0,2023-02-19,,EeM-0793-3054,Luxury,4.2
Penelope Cooper,penelope.cooper@example.com,207.922.4036x51465,1958-11-23,6124 Central Park West,New York,NY,33995-3667,Queens,898-383-2512x851,robert99@bright-schwartz.com,Inactive,0,2021-05-14,,,,
Thomas Perry,thomas.perry@example.com,(564)410-7776x1931,1982-06-29,1340 Lexington Ave,New York,NY,17701-8358,Staten Island,433.842.8128x753,mary03@alvarado-shaw.com,Active,0,2022-06-17,,zxF-0695-5419,"Foreclosures, Commercial, Residential",2.54
Jane Russell,jane.russell@example.com,001-671-340-2176,1991-04-03,34023 Bowery,New York,NY,15411-1256,Staten Island,(873)661-5400,williamnelson@gibson.org,Terminated,0,2022-02-25,2022-12-07,,,
Kimberly Williams,kimberly.williams@example.com,5316362616,2005-06-28,109 1st Ave,New York,NY,41572-4384,Bronx,421-290-1804x25405,meyermary@price.biz,Terminated,0,2019-12-18,2023-01-30,Acw-1548-1167,Property Management,3.37
John Adams,john.adams@example.com,524.485.5390,1958-04-18,220 Arthur Ave,New York,NY,23547-3778,Queens,433.842.8128x753,mary03@alvarado-shaw.com,Terminated,0,2022-10-27,2020-04-28,,,
Laura King,laura.king@example.com,8505066763,1943-11-01,400 Central Park West,New York,NY,90124-4239,Manhattan,421-290-1804x25405,meyermary@price.biz,Inactive,0,2023-11-10,,LyP-1901-1826,"Short Sales, Foreclosures, Leasing",3.16
Megan Ross,megan.ross@example.com,756.894.6781,1951-09-22,76479 Hylan Blvd,New York,NY,42467-5602,Queens,421-290-1804x25405,meyermary@price.biz,Terminated,0,2020-02-09,2023-09-27,,,
Alexander Collins,alexander.collins@example.com,815.272.6640,1987-12-08,642 Houston Street,New York,NY,33870-3228,Queens,898-383-2512x851,robert99@bright-schwartz.com,Inactive,0,2019-09-18,,YuK-0840-4137,"Property Management, Luxury, Leasing, Investment",3.54
Nicholas Perry,nicholas.perry@example.com,541.222.4087x743,1974-05-04,608 Columbus Ave,New York,NY,42226-7786,Staten Island,8278386211,nicholaspruitt@lee.com,Terminated,0,2020-04-09,2022-08-20,,,
Thomas Price,thomas.price@example.com,5849653661,1968-08-27,9898 Roosevelt Ave,New York,NY,90318-7237,Manhattan,4799237892,hwilkinson@martinez.com,Terminated,0,2021-10-13,2021-01-28,kez-3161-4371,"Commercial, Leasing, Investment",4.29
Paisley Wilson,paisley.wilson@example.com,(752)933-2663x9636,1986-01-14,4121 Astoria Blvd,New York,NY,25354-2297,Manhattan,+1-459-717-5714x64028,djackson@morgan.com,Terminated,0,2023-04-14,2022-04-06,,,
Penelope Russell,penelope.russell@example.com,+1-617-786-7759x522,1991-06-06,9670 Arthur Ave,New York,NY,89771-1621,Staten Island,(486)423-9409,ariel95@carey.com,On Leave,0,2022-12-23,,gYw-3073-5750,Luxury,2.06
Rachel Diaz,rachel.diaz@example.com,(390)941-0984x0293,1980-06-12,853 Lexington Ave,New York,NY,28515-5532,Queens,+1-459-717-5714x64028,djackson@morgan.com,Terminated,0,2019-11-24,2020-09-21,,,
Melissa Robinson,melissa.robinson@example.com,001-603-415-4118x7677,1972-04-23,9759 Hylan Blvd,New York,NY,65524-5265,Queens,4799237892,hwilkinson@martinez.com,Active,0,2020-09-26,,UKD-3134-9159,"Investment, Commercial, Luxury",1.16
Tyler Reed,tyler.reed@example.com,001-898-608-5423,1978-11-20,46677 Jerome Ave,New York,NY,44244-6421,Queens,4799237892,hwilkinson@martinez.com,Inactive,0,2022-08-16,,,,
